Format Version,1.23,Take Name,2020-03-07_Ard_her_20-317L_4jts_6fthr_ROM_001,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2020-03-17 12.49.24.387 PM,Total Frames in Take,2032,Total Exported Frames,2032,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Ard_her_20-317L_4jt7wing:cmc,Ard_her_20-317L_4jt7wing:cmc,Ard_her_20-317L_4jt7wing:cmc,Ard_her_20-317L_4jt7wing:cmc_leading,Ard_her_20-317L_4jt7wing:cmc_leading,Ard_her_20-317L_4jt7wing:cmc_leading,Ard_her_20-317L_4jt7wing:elbow,Ard_her_20-317L_4jt7wing:elbow,Ard_her_20-317L_4jt7wing:elbow,Ard_her_20-317L_4jt7wing:humerus,Ard_her_20-317L_4jt7wing:humerus,Ard_her_20-317L_4jt7wing:humerus,Ard_her_20-317L_4jt7wing:humerus_leading,Ard_her_20-317L_4jt7wing:humerus_leading,Ard_her_20-317L_4jt7wing:humerus_leading,Ard_her_20-317L_4jt7wing:p10,Ard_her_20-317L_4jt7wing:p10,Ard_her_20-317L_4jt7wing:p10,Ard_her_20-317L_4jt7wing:p7,Ard_her_20-317L_4jt7wing:p7,Ard_her_20-317L_4jt7wing:p7,Ard_her_20-317L_4jt7wing:s1,Ard_her_20-317L_4jt7wing:s1,Ard_her_20-317L_4jt7wing:s1,Ard_her_20-317L_4jt7wing:s10,Ard_her_20-317L_4jt7wing:s10,Ard_her_20-317L_4jt7wing:s10,Ard_her_20-317L_4jt7wing:wrist,Ard_her_20-317L_4jt7wing:wrist,Ard_her_20-317L_4jt7wing:wrist,Ard_her_20-317L_4jt7wing:wrist_leading,Ard_her_20-317L_4jt7wing:wrist_leading,Ard_her_20-317L_4jt7wing:wrist_leading
,ID,"8908D55B8B1A11EAF43947E3DD4CBA4","8908D55B8B1A11EAF43947E3DD4CBA4","8908D55B8B1A11EAF43947E3DD4CBA4","8908D55D8B1A11EAF43947E3DD4CBA4","8908D55D8B1A11EAF43947E3DD4CBA4","8908D55D8B1A11EAF43947E3DD4CBA4","8908D55F8B1A11EAF43947E3DD4CBA4","8908D55F8B1A11EAF43947E3DD4CBA4","8908D55F8B1A11EAF43947E3DD4CBA4","90CD5E838B1A11EAF43947E3DD4CBA4","90CD5E838B1A11EAF43947E3DD4CBA4","90CD5E838B1A11EAF43947E3DD4CBA4","90CD5E858B1A11EAF43947E3DD4CBA4","90CD5E858B1A11EAF43947E3DD4CBA4","90CD5E858B1A11EAF43947E3DD4CBA4","97F1B5C88B1A11EAF43947E3DD4CBA4","97F1B5C88B1A11EAF43947E3DD4CBA4","97F1B5C88B1A11EAF43947E3DD4CBA4","97F1B5CA8B1A11EAF43947E3DD4CBA4","97F1B5CA8B1A11EAF43947E3DD4CBA4","97F1B5CA8B1A11EAF43947E3DD4CBA4","97F1B5CC8B1A11EAF43947E3DD4CBA4","97F1B5CC8B1A11EAF43947E3DD4CBA4","97F1B5CC8B1A11EAF43947E3DD4CBA4","97F1B5CE8B1A11EAF43947E3DD4CBA4","97F1B5CE8B1A11EAF43947E3DD4CBA4","97F1B5CE8B1A11EAF43947E3DD4CBA4","A0ECB6F78B1A11EAF43947E3DD4CBA4","A0ECB6F78B1A11EAF43947E3DD4CBA4","A0ECB6F78B1A11EAF43947E3DD4CBA4","A0ECB6F98B1A11EAF43947E3DD4CBA4","A0ECB6F98B1A11EAF43947E3DD4CBA4","A0ECB6F98B1A11EAF43947E3DD4CBA4"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,107.554214,208.315002,-3.679659,99.027046,206.628830,-11.610515,7.362089,408.638306,231.972672,-111.517654,497.300507,218.217178,-131.859558,519.929932,223.305573,422.484772,160.185715,-188.749756,457.098541,222.188095,-144.642044,326.462433,340.065887,77.593704,183.439255,566.765320,237.198822,37.302540,270.868530,61.745632,19.194016,268.596893,50.769268
1,0.033333,107.630699,208.434570,-4.078806,99.172081,206.947906,-12.167143,7.682635,408.703094,231.855225,-111.193336,497.505798,217.826523,-131.687897,519.904358,223.176025,421.130432,160.354843,-191.308975,456.462830,221.935318,-146.645660,327.132019,339.261169,77.395264,183.859116,566.746216,236.691467,37.525959,270.944366,61.607006,19.474844,268.885162,50.486790
2,0.066667,107.768867,208.525101,-4.299232,99.305069,207.000519,-12.335485,7.851074,409.020203,231.589233,-111.071426,497.724854,217.767197,-131.536484,520.385437,222.917267,420.855286,158.765396,-192.128799,456.473877,220.152222,-147.786575,327.414948,339.410370,76.589798,183.554413,567.515381,235.912323,37.770855,271.091827,61.569195,19.710320,269.046722,50.340347
3,0.100000,107.939598,208.640045,-4.376051,99.494400,207.151642,-12.415998,8.055518,409.350861,231.406235,-111.037544,497.863312,217.447723,-131.537811,520.491516,222.596848,421.496613,159.445206,-191.596344,456.691986,221.307770,-147.653336,327.530579,339.982239,76.049057,183.588501,568.083740,235.049255,37.993229,271.271210,61.448978,19.907213,269.241791,50.208733
4,0.133333,108.083252,209.203720,-4.597604,99.618103,207.768219,-12.683000,8.150263,409.693024,231.288834,-111.030800,498.110199,217.551163,-131.552139,520.703735,222.745163,421.529572,160.847321,-192.050781,456.886230,222.541626,-147.830460,327.707275,340.323883,76.245972,183.414108,568.820007,234.344009,38.108971,271.816711,61.159466,19.973978,269.656128,50.026669
5,0.166667,108.194351,209.563599,-4.915769,99.715454,208.110626,-12.977427,8.315275,409.858246,231.158203,-110.859581,498.506592,217.386612,-131.414108,520.798035,222.824631,421.912109,161.962708,-192.294205,456.683411,224.043793,-148.573944,327.553589,341.283234,75.561508,183.491943,569.005493,234.482285,38.239651,272.096222,60.912201,20.111996,269.972504,49.778027
6,0.200000,108.356583,210.234406,-5.608004,99.779091,208.389282,-13.397120,8.640900,409.856812,230.992218,-110.679672,498.340057,217.450363,-131.173691,520.845947,222.571442,421.160309,162.935501,-194.249374,456.749939,224.241852,-149.419052,327.971161,340.966339,75.558746,183.957870,568.797119,234.572418,38.357471,272.413605,60.533695,20.193142,270.254791,49.435738
